id,Name,ext_name,force,Legion,belong,location,identity,loyalty,Merit,command,battlebility,intelligence,politics,charm,five_circles,spearman,Halberd,crossbowmen,cavalry,weapon,Navy,Strong_ID,icon,gender,phase,stunt,stunt_combo,Stunt_description,power_level_1,Level_2,Level_3,Level_4,Level_5,Level_6,debut_year,birth_year,death_year
0,齐小白,,齐小白,齐小白,北海,北海,君主,120,2000,67,61,73,79,91,371,熟,精,熟,熟,熟,初,1,1201,男,65,遁走,1-遁走,於陆上时不考虑ＺＯＣ,,,,,,,150,130,229
1,管夷吾,仲,齐小白,齐小白,北海,北海,一般,120,2000,88,65,96,120,87,456,极,极,精,熟,精,熟,0,1908,男,65,特技150,,,,,,,,,150,130,229
2,鲍叔牙,,齐小白,齐小白,北海,北海,一般,120,2000,43,46,76,87,89,341,初,初,熟,初,熟,初,1,1909,男,65,辅佐,26-辅佐,即使没建立人际关係（厌恶除外）也可获得支援攻击,,,,,,,150,130,229
3,晏婴,平仲,齐小白,齐小白,北海,北海,一般,120,2000,37,18,90,92,92,329,初,初,初,初,初,初,1,1204,男,64,機智,55-機智,对智力比自己低的敌方部队施展部队计略「擾乱」时，必定会成功,,,,,,,150,130,229
4,田完,,齐小白,齐小白,北海,北海,一般,120,2000,50,52,71,73,83,329,初,初,熟,初,熟,熟,3,1205,男,67,特技255,,,,,,,,,150,130,229
5,司马穰苴,,齐小白,齐小白,北海,北海,一般,120,2000,90,64,81,79,76,390,极,极,精,熟,精,精,1,1206,男,66,治军,130-治军,物理攻击眩晕效果免疫,,,,,,,195,175,274
6,于禁,文则,曹操,曹操,许昌,许昌,一般,120,2000,79,78,65,57,48,327,精,精,精,熟,熟,熟,0,76,男,29,治军,130-治军,物理攻击眩晕效果免疫,,,,,,,150,130,229
7,田因齐,,齐小白,齐小白,北海,北海,一般,120,2000,54,68,79,85,93,379,初,熟,初,初,熟,初,0,1207,男,67,威压,95-威压,所属都市的领内不容易出现盗贼或異族的根据地,,,,,,,210,190,289
8,卫瓘,伯玉,司马懿,司马懿,寿春,寿春,一般,120,2000,50,25,79,76,52,282,初,熟,熟,熟,熟,初,0,148,男,31,诡计,56-诡计,对智力比自己低的敌方部队施展部队计略「内讧」时，必定会成功,,,,,,,150,130,229
9,匡章,,齐小白,齐小白,北海,北海,一般,120,2000,82,75,73,44,58,332,精,精,熟,熟,精,熟,1,1208,男,68,掠夺,21-掠夺,击破敌方部队时，有機会夺取敌将的道具,,,,,,,150,130,229
10,田忌,期,齐小白,齐小白,北海,北海,一般,120,2000,74,69,70,60,72,345,熟,精,精,熟,熟,精,2,1209,男,67,特技255,,,,,,,,,210,190,289
11,田单,,齐小白,齐小白,北海,北海,一般,120,2000,85,70,91,70,75,391,精,精,精,熟,极,熟,2,1210,男,66,火攻,53-火攻,对智力比自己低的敌方部队施展部队计略「火计」时必定会成功,,,,,,,210,190,289
12,孙膑,,齐小白,齐小白,北海,北海,一般,120,2000,92,5,108,69,64,338,精,极,极,熟,极,熟,1,1211,男,66,虚实,57-虚实,对智力比自己低的敌方部队施展全部队计略时，必定会成功,,,,,,,210,190,289
13,薛文,,齐小白,齐小白,北海,北海,一般,120,2000,59,54,77,73,94,357,初,初,熟,初,熟,初,2,1212,男,68,名声,79-名声,增加徵兵时的士兵数,,,,,,,210,190,289
14,邹忌,,齐小白,齐小白,北海,北海,一般,120,2000,61,58,78,75,62,334,熟,熟,初,初,初,初,1,1213,男,63,奏乐,75-奏乐,每回合回復自军部队的气力,,,,,,,150,130,229
15,邹衍,,,,北平,北平,未发现,0,0,19,24,82,82,67,274,初,初,初,初,初,初,1,1214,男,9,风水,97-风水,所属都市不容易出现蝗灾、瘟疫,,,,,,,150,130,229
16,鲁仲连,,,,北海,北海,未发现,0,0,33,51,88,76,84,332,初,初,初,初,初,初,3,1215,男,62,论客,86-论客,於同盟、停战协定、交换俘虏时容易进入舌战,,,,,,,150,130,229
17,孔丘,仲尼,,,北海,北海,未发现,0,0,65,65,86,100,120,436,初,初,熟,初,熟,初,0,1216,男,62,圣人,143-圣人,登用无归属武将时必定成功,,,,,,,150,130,229
18,袁绍,本初,刘秀,刘秀,宛,宛,一般,120,2000,66,67,71,72,80,356,初,精,熟,熟,熟,熟,1,5,男,67,特技255,,,,,,,,,150,130,229
19,孟轲,,,,北海,北海,未发现,0,0,25,42,82,78,100,327,初,初,初,初,初,初,0,1217,男,62,贤哲,138-贤哲,所属势力每月增加一定量的技巧值,,,,,,,150,130,229
20,墨翟,,,,北海,北海,未发现,0,0,66,60,85,73,102,386,初,初,熟,初,极,熟,0,1218,男,70,贤哲,138-贤哲,所属势力每月增加一定量的技巧值,,,,,,,150,130,229
21,晋重耳,,晋重耳,晋重耳,邺,邺,君主,120,2000,69,62,71,84,95,381,初,精,熟,熟,熟,熟,1,1219,男,20,亲和,142-亲和,实行亲善所能提升的友好度加倍,,,,,,,150,130,229
22,狐偃,咎犯,晋重耳,晋重耳,邺,邺,一般,120,2000,67,54,89,89,79,378,初,精,熟,熟,熟,初,1,2028,男,20,看破,60-看破,必定可识破智力比自己低的敌方部队所施展部队计略,,,,,,,150,130,229
23,先轸,,晋重耳,晋重耳,邺,邺,一般,120,2000,93,79,87,62,65,386,极,极,熟,精,精,熟,1,1221,男,21,待伏,16-待伏,伏兵成功时施展会心一击,,,,,,,150,130,229
24,淳于髡,,齐小白,齐小白,北海,北海,一般,120,2000,28,21,83,76,79,287,初,初,初,初,初,初,3,1202,男,68,特技255,,,,,,,,,150,130,229
25,田骈,,齐小白,齐小白,北海,北海,一般,120,2000,36,33,79,81,73,302,初,初,初,初,初,初,2,1203,男,66,特技255,,,,,,,,,150,130,229
26,赵衰,,晋重耳,晋重耳,邺,邺,一般,120,2000,60,59,77,82,88,366,初,初,熟,初,熟,初,2,1222,男,22,辅佐,26-辅佐,即使没建立人际关係（厌恶除外）也可获得支援攻击,,,,,,,150,130,229
27,赵盾,,晋重耳,晋重耳,邺,邺,一般,120,2000,58,58,73,79,82,350,初,初,熟,初,熟,初,2,2082,男,22,特技255,,,,,,,,,165,145,244
28,赵鞅,,晋重耳,晋重耳,邺,邺,一般,120,2000,66,61,80,85,85,377,熟,熟,熟,初,熟,初,2,1224,男,22,築城,77-築城,军事设施建设的耐久上昇量增为２倍,,,,,,,195,175,274
29,赵毋恤,,晋重耳,晋重耳,邺,邺,一般,120,2000,74,68,85,76,86,389,熟,精,精,精,熟,初,1,2006,男,22,沉著,73-沉著,可防止遭受部队计略「擾乱」,,,,,,,210,190,289
30,张孟谈,,,,邺,邺,未发现,0,0,34,40,87,74,71,306,初,初,初,初,初,初,2,1226,男,21,论客,86-论客,於同盟、停战协定、交换俘虏时容易进入舌战,,,,,,,150,130,229
31,赵雍,,晋重耳,晋重耳,邺,邺,一般,120,2000,89,78,66,68,69,370,精,熟,极,极,初,初,0,1227,男,22,白马,25-白马,未研究技巧「骑射」时也可施展骑射；骑射可施展会心一击,,,,,,,225,205,304
32,周访,士达,,,寿春,寿春,未发现,0,0,83,76,70,71,76,376,熟,精,熟,熟,精,极,0,1873,男,28,强袭,14-强袭,於水上攻击时，有50％的機率不会受到损伤,,,,,,,150,130,229
33,荀罃,子羽,晋重耳,晋重耳,邺,邺,一般,120,2000,71,61,85,86,84,387,精,精,初,初,熟,熟,1,1228,男,21,妙计,58-妙计,对智力比自己低的敌方部队施展部队计略成功时会心一击,,,,,,,165,145,244
34,赵胜,,晋重耳,晋重耳,邺,邺,一般,120,2000,65,54,70,73,92,354,初,初,精,初,熟,初,3,1229,男,22,名声,79-名声,增加徵兵时的士兵数,,,,,,,225,205,304
35,赵奢,,晋重耳,晋重耳,邺,邺,一般,120,2000,90,75,74,78,80,397,精,精,熟,极,熟,初,1,1230,男,22,强行,2-强行,增加兵器、输送部队以外的陆上部队之移动力,,,,,,,225,205,304
